topic_id;title;pid;video_id;youtube_url
1;[VÍDEO] SUPER GRINGOS DO CS;1;A02lE1lRQSs;https://youtu.be/A02lE1lRQSs
2;[VÍDEO] UM TROLL NO CS;2;76SmxYY-NCg;https://youtu.be/76SmxYY-NCg
3;[VÍDEO] ACEITA;3;znzlAk9oZ7k;https://youtu.be/znzlAk9oZ7k
4;[VÍDEO] PASSANDO APSINTRO;4;8Pn-r_cEXf0;https://youtu.be/8Pn-r_cEXf0
5;[VÍDEO] CONVERSA COM STREAMER;5;VPmKlhVqBNw;https://youtu.be/VPmKlhVqBNw
6;[VÍDEO] GAMEPLAY DAS PRINCESAS;6;W-1crxonkVw;https://youtu.be/W-1crxonkVw
7;[VÍDEO] GRIF MUSH;7;t0ca3SPhPjI;https://youtu.be/t0ca3SPhPjI
8;[VÍDEO] MEU AMIGO ANDOU NA GARUPA DA HORNET;8;HnTrNxWaeos;https://youtu.be/HnTrNxWaeos
9;[VÍDEO] TREINANDO TRAVESSÃO DE NOITE EM UM CLUBE;9;qynEq0nbxW8;https://youtu.be/qynEq0nbxW8
10;[VÍDEO] NÃO ENTRE NA PISCINA DE UM CLUBE AS 3 DA MANHÃ;10;SibVhTBiM4w;https://youtu.be/SibVhTBiM4w
11;[VÍDEO] REAÇÃO DELE NO ENCONTRO DE MOTOS;11;pEqYKB6g8Nc;https://youtu.be/pEqYKB6g8Nc
12;[VÍDEO] TIVE QUE ARRANCAR 2 DENTES ,n,;12;L7PLMCVSAlI;https://youtu.be/L7PLMCVSAlI
13;[VÍDEO] ROLÊ DE HORNET E BICICLETA FT. RAFAEL;13;TNCPpuihrZs;https://youtu.be/TNCPpuihrZs
14;[VÍDEO] A MÁGICA DO SÉCULO;14;UogOK9BJEBE;https://youtu.be/UogOK9BJEBE
15;[VÍDEO] HACKS NO KINDOME;15;bypatb1CF9w;https://youtu.be/bypatb1CF9w
16;[VÍDEO] MARIAUM ME DEMOTANDO;16;efCvNowWyF4;https://youtu.be/efCvNowWyF4
16;[VÍDEO] MARIAUM ME DEMOTANDO;16;B9SUZM5YDYU;https://youtu.be/B9SUZM5YDYU
17;[VÍDEO] RIP CASA BY BRUNO, RAFAEL E SOFIA;17;pDuP0LDai2I;https://youtu.be/pDuP0LDai2I
18;[VÍDEO] SOPRAAY SE EXPLICANDO;18;ymES4Wrk9dU;https://youtu.be/ymES4Wrk9dU
19;[VÍDEO] TROLLANDO DUAS MENINAS;19;6Vc0YSyZ_Sw;https://youtu.be/6Vc0YSyZ_Sw
20;[VÍDEO] TROLLANDO JOTAH;20;x7aXN_OipiU;https://youtu.be/x7aXN_OipiU
21;[VÍDEO] TROLLANDO PLAYER;21;skq7Dq2Yqu8;https://youtu.be/skq7Dq2Yqu8
22;[VÍDEO] UM DIA DE BAIXO D'ÁGUA;22;gF-MEEFdoos;https://youtu.be/gF-MEEFdoos
23;[VÍDEO] POR QUE EU NÃO GOSTO DESSE RETROVISOR;23;p12QqLp2pUA;https://youtu.be/p12QqLp2pUA
24;[VÍDEO] COMO NÃO IR CORRETAMENTE PARA BEIRA MAR;24;L1pk3XWFKus;https://youtu.be/L1pk3XWFKus
25;[VÍDEO] FIQUEI PRESO PRA FORA DE CASA (BRIGADEIRO DA MADRUGADA);25;RMba6MtVkBE;https://youtu.be/RMba6MtVkBE
26;[VÍDEO] CHEGUEI CHEGANDO NA CARRETA FURACÃO DE FORTALEZA KK;26;wgCsTvRvTWQ;https://youtu.be/wgCsTvRvTWQ
27;[VÍDEO] ROLÊZÕES NA PRAIA;27;OKnA44n6zbY;https://youtu.be/OKnA44n6zbY
27;[VÍDEO] ROLÊZÕES NA PRAIA;27;tRcmaJHf-90;https://youtu.be/tRcmaJHf-90
28;[VÍDEO] TIRANDO A NOVA BROS 2019 DA CONCESSIONÁRIA;28;9vDLCfTUaTw;https://youtu.be/9vDLCfTUaTw
29;[VÍDEO] O QUE EU ACHEI DE VINGADORES ULTIMATO;29;O9YLxHasStU;https://youtu.be/O9YLxHasStU
30;[VÍDEO] OS 200;30;AoNPjWe-qwk;https://youtu.be/AoNPjWe-qwk
31;[VÍDEO] COMO ASSISTIR VINGADORES ULTIMATO;31;ORh3RXfqDTI;https://youtu.be/ORh3RXfqDTI
32;[VÍDEO] PEGUEI O MEU AMIGO NA ESCOLA E CAI DE MOTO;32;ugh0A7aUqiY;https://youtu.be/ugh0A7aUqiY
32;[VÍDEO] PEGUEI O MEU AMIGO NA ESCOLA E CAI DE MOTO;32;xPHlASeuadQ;https://youtu.be/xPHlASeuadQ
33;[VÍDEO] VOU TROCAR DE MOTO NOS 10.000 INSCRITOS?;33;wJnNkzU6K0M;https://youtu.be/wJnNkzU6K0M
34;[VÍDEO] UM DIA DE UM HORNETEIRO PROGRAMADOR.DLL;34;CfAphOun7rc;https://youtu.be/CfAphOun7rc
35;[VÍDEO] DEIXEI MEU AMIGO NA ESCOLA DE HORNET;35;fxC4nE9sXKw;https://youtu.be/fxC4nE9sXKw
36;[VÍDEO] VOLTANDO DE NATAL PARA FORTALEZA;36;TJGWxKsWUmg;https://youtu.be/TJGWxKsWUmg
38;[VÍDEO] APENAS UM CHURRASCO.JAR;38;1O9W_68jqEM;https://youtu.be/1O9W_68jqEM
39;[VÍDEO] MINHAS SOBRINHAS ESCONDERAM MEU CELULAR (GALAXY J8);39;vEKhGVtvIqU;https://youtu.be/vEKhGVtvIqU
40;[VÍDEO] EU TENHO 20 ANOS;40;PXQORfpVr9Y;https://youtu.be/PXQORfpVr9Y
41;[VÍDEO] TOUR NO CONDOMÍNIO DO MEU IRMÃO;41;IfbWzgvVD44;https://youtu.be/IfbWzgvVD44
42;[VÍDEO] UM CONDOMÍNIO.EXE;42;Bmq_oQVscVc;https://youtu.be/Bmq_oQVscVc
43;[VÍDEO] VIAGEM DE CARNAVAL;43;v1L1lp0rulg;https://youtu.be/v1L1lp0rulg
44;[VÍDEO] PRIMEIRO DIA DE FACULDADE;44;0Vzkzjttd1M;https://youtu.be/0Vzkzjttd1M
45;[VÍDEO] A PROCURA DE UM ANIVERSÁRIO;45;X2FOqClPaxs;https://youtu.be/X2FOqClPaxs
46;[VÍDEO] PARQUE.EXE;46;yjRdmgcJ658;https://youtu.be/yjRdmgcJ658
47;[VÍDEO] COMO ASSISTIR WIFI RALPH SOZINHO ,u, KK;47;QQhBp8Klbfk;https://youtu.be/QQhBp8Klbfk
48;[VÍDEO] A HORNET FOI PARA A OFICINA DE REBOQUE;48;nkmmftaGuLs;https://youtu.be/nkmmftaGuLs
49;[VÍDEO] FUI EM UM ENCONTRO DE MOTOS EM FORTALEZA;49;r_-wo69gqwk;https://youtu.be/r_-wo69gqwk
50;[VÍDEO] DEU RUIM COM A HORNET (CHAMEI REBOQUE);50;1zycqbnyAPo;https://youtu.be/1zycqbnyAPo
51;[VÍDEO] FIM DO CANAL?;51;k4GCKUuo60w;https://youtu.be/k4GCKUuo60w
52;[VÍDEO] MOTOVLOG SEM CORTE DE VÍDEO;52;ZmXF9l4d9oQ;https://youtu.be/ZmXF9l4d9oQ
53;[VÍDEO] REAGINDO A VÍDEOS NO MEU SERVIDOR (ADVMUSIC);53;_aotvCngHmg;https://youtu.be/_aotvCngHmg
54;[VÍDEO] O ROLÊ DO "DEU RUIM";54;KtlzH3piCQI;https://youtu.be/KtlzH3piCQI
55;[VÍDEO] O GOULARTE FINALMENTE REAGIU AO AFULEPONCIO (MAIS OU MENOS);55;BwJLQPdTSdI;https://youtu.be/BwJLQPdTSdI
55;[VÍDEO] O GOULARTE FINALMENTE REAGIU AO AFULEPONCIO (MAIS OU MENOS);55;iOKlo3WjYoU;https://youtu.be/iOKlo3WjYoU
56;[VÍDEO] ALGUMAS PARTIDAS DE CS:GO FT. LENON;56;aNcHEa_e8OA;https://youtu.be/aNcHEa_e8OA
57;[VÍDEO] FALANDO SOBRE PROJETOS ANTIGOS DA INTROCDC;57;7LHOgq55JtM;https://youtu.be/7LHOgq55JtM
58;[VÍDEO] VOU TROCAR DE ESCAPE COM A NEGONA?;58;KMxfMxTdX8Y;https://youtu.be/KMxfMxTdX8Y
59;[VÍDEO] TREINEI AIRSOFT NO SHOPPING;59;s3RWrD8kJiw;https://youtu.be/s3RWrD8kJiw
60;[VÍDEO] COISAS POSSÍVEIS DE ACONTECER NA CASA DE UM BRUNO;60;BpVMN0xdNDo;https://youtu.be/BpVMN0xdNDo
61;[VÍDEO] FUI EM UM PULA PULA GIGANTE COM O RAFAEL;61;e1KoFkfdw1Q;https://youtu.be/e1KoFkfdw1Q
62;[VÍDEO] GASTOS DE UM DONO DE HORNET;62;ZZH4bd7BVXU;https://youtu.be/ZZH4bd7BVXU
63;[VÍDEO] INSTALEI UM PLAYSTATION 2 NO CELTA;63;w0QT5IzGVy4;https://youtu.be/w0QT5IzGVy4
64;[VÍDEO] APENAS UM DIA EM FORTALEZA;64;AD_iJdQe_w8;https://youtu.be/AD_iJdQe_w8
65;[VÍDEO] DIA NORMAL E ESTATÍSTICAS DO CANAL;65;6G0G_efJv8M;https://youtu.be/6G0G_efJv8M
66;[VÍDEO] NUNCA ANDE DE HORNET AS 3 DA MANHÃ;66;LlR-ZTL68PQ;https://youtu.be/LlR-ZTL68PQ
67;[VÍDEO] POINT CABRIOCÁRICO INAUGURADO;67;OZ4R-PBsNis;https://youtu.be/OZ4R-PBsNis
68;[VÍDEO] COMPREI UM PLAYSTATION 2 E.E;68;uF1m7ZeDhtQ;https://youtu.be/uF1m7ZeDhtQ
69;[VÍDEO] EXPERIMENTANDO OUTROS SHOPPINGS;69;H6gFH8zV530;https://youtu.be/H6gFH8zV530
70;[VÍDEO] MEU ESTILO DE EDIÇÃO;70;cYdt0Udh-Jc;https://youtu.be/cYdt0Udh-Jc
71;[VÍDEO] HOJE NÃO TEM VÍDEO;71;ZTd4yi2pK4U;https://youtu.be/ZTd4yi2pK4U
